[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
select count(asin) from review where duplicate = 1;
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0002KRABU>, 1404000000, 2],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B000JK2D06>, 1380067200, 5],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B0000AY3X0>, 1397347200, 5],[<Product: Product Asin = B00BQYCIVI>, 1397347200, 5],0.7142857142857143
[<Product: Product Asin = B00020CAUG>, 1198368000, 5],[<Product: Product Asin = B00020CAVA>, 1198108800, 5],1.0
[<Product: Product Asin = B00020CAVA>, 1198108800, 5],[<Product: Product Asin = B00020CAUG>, 1198368000, 5],1.0
[<Product: Product Asin = B0002F9YHI>, 1236988800, 5],[<Product: Product Asin = B000637TE6>, 1236988800, 5],0.38095238095238093
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B00008BKX5>, 1313020800, 5],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B0002KRABU>, 1404000000, 2],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B000JK2D06>, 1380067200, 5],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B0002JMLQU>, 1396915200, 5],[<Product: Product Asin = B0007ZAJRM>, 1396915200, 5],0.780952380952381
[<Product: Product Asin = B0002KKHS8>, 1236988800, 5],[<Product: Product Asin = B000637TE6>, 1236988800, 5],0.5142857142857142
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B00008BKX5>, 1313020800, 5],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B000JK2D06>, 1380067200, 5],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B0002KRABU>, 1404000000, 2],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B0002SR7TC>, 1370995200, 3],[<Product: Product Asin = B000JFJM14>, 1370995200, 5],0.38095238095238093
[<Product: Product Asin = B0002SRL20>, 1354060800, 4],[<Product: Product Asin = B0036ULEV0>, 1354060800, 2],0.3047619047619048
[<Product: Product Asin = B0002STTPW>, 1401580800, 5],[<Product: Product Asin = B0050SFZBG>, 1401580800, 5],0.5714285714285714
[<Product: Product Asin = B0002STTPW>, 1401580800, 5],[<Product: Product Asin = B000KPU8F2>, 1401580800, 5],0.5428571428571428
[<Product: Product Asin = B0002STTPW>, 1401580800, 5],[<Product: Product Asin = B000O80AZS>, 1401580800, 5],0.45714285714285713
[<Product: Product Asin = B0002STTPW>, 1401580800, 5],[<Product: Product Asin = B000CPI5Z0>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B0002STTPW>, 1401580800, 5],[<Product: Product Asin = B004SL8568>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B0002U1TX0>, 1302652800, 5],[<Product: Product Asin = B0002U2V1Y>, 1302566400, 5],0.42857142857142855
[<Product: Product Asin = B0002U1TX0>, 1291161600, 5],[<Product: Product Asin = B0009IQX6I>, 1291248000, 5],0.5428571428571428
[<Product: Product Asin = B0002U1TX0>, 1301616000, 5],[<Product: Product Asin = B0002U1TYY>, 1301616000, 5],0.9523809523809523
[<Product: Product Asin = B0002U1TX0>, 1301616000, 5],[<Product: Product Asin = B0002U26QE>, 1301616000, 5],0.8380952380952381
[<Product: Product Asin = B0002U1TYY>, 1301616000, 5],[<Product: Product Asin = B0002U1TX0>, 1301616000, 5],0.9523809523809523
[<Product: Product Asin = B0002U1TYY>, 1301616000, 5],[<Product: Product Asin = B0002U26QE>, 1301616000, 5],0.8761904761904762
[<Product: Product Asin = B0002U26QE>, 1301616000, 5],[<Product: Product Asin = B0002U1TYY>, 1301616000, 5],0.8761904761904762
[<Product: Product Asin = B0002U26QE>, 1301616000, 5],[<Product: Product Asin = B0002U1TX0>, 1301616000, 5],0.8380952380952381
[<Product: Product Asin = B0002U2V1Y>, 1302566400, 5],[<Product: Product Asin = B0002U1TX0>, 1302652800, 5],0.42857142857142855
[<Product: Product Asin = B0002U2V1Y>, 1401148800, 5],[<Product: Product Asin = B00063X7KG>, 1401148800, 5],0.9904761904761905
[<Product: Product Asin = B0002UEOLO>, 1383350400, 5],[<Product: Product Asin = B000AL8VD2>, 1383350400, 5],0.41904761904761906
[<Product: Product Asin = B0002UNOYM>, 1219276800, 5],[<Product: Product Asin = B0009IQXCM>, 1219276800, 5],0.5904761904761905
[<Product: Product Asin = B0002UNOYM>, 1219276800, 5],[<Product: Product Asin = B0002UQATS>, 1216684800, 5],0.5047619047619047
[<Product: Product Asin = B0002UQATS>, 1379376000, 5],[<Product: Product Asin = B001O7PNNM>, 1379376000, 5],0.6571428571428571
[<Product: Product Asin = B0002UQATS>, 1216684800, 5],[<Product: Product Asin = B0002UNOYM>, 1219276800, 5],0.5047619047619047
[<Product: Product Asin = B0002UQATS>, 1216684800, 5],[<Product: Product Asin = B0009IQXCM>, 1219276800, 5],0.3238095238095238
[<Product: Product Asin = B0002UQAXY>, 1320883200, 5],[<Product: Product Asin = B0002UQAY8>, 1320883200, 5],1.0
[<Product: Product Asin = B0002UQAXY>, 1324425600, 5],[<Product: Product Asin = B0002VAZA2>, 1324425600, 5],0.37142857142857144
[<Product: Product Asin = B0002UQAXY>, 1335052800, 5],[<Product: Product Asin = B001O7PNW8>, 1335052800, 5],0.5047619047619047
[<Product: Product Asin = B0002UQAXY>, 1335052800, 5],[<Product: Product Asin = B001O7PNXC>, 1335052800, 5],0.49523809523809526
[<Product: Product Asin = B0002UQAXY>, 1355702400, 5],[<Product: Product Asin = B0002VAZA2>, 1355702400, 5],0.8952380952380953
[<Product: Product Asin = B0002UQAXY>, 1355702400, 5],[<Product: Product Asin = B001TKWRHO>, 1355702400, 5],0.8
[<Product: Product Asin = B0002UQAY8>, 1320883200, 5],[<Product: Product Asin = B0002UQAXY>, 1320883200, 5],1.0
[<Product: Product Asin = B0002UQAY8>, 1362873600, 4],[<Product: Product Asin = B001O7PNXC>, 1362873600, 4],0.4666666666666667
[<Product: Product Asin = B0002UQAY8>, 1324425600, 5],[<Product: Product Asin = B0002VAZA2>, 1324425600, 5],0.3523809523809524
[<Product: Product Asin = B0002V9LAW>, 1359676800, 5],[<Product: Product Asin = B000BO8Z9I>, 1359676800, 5],0.45714285714285713
[<Product: Product Asin = B0002VAZA2>, 1324425600, 5],[<Product: Product Asin = B0002UQAXY>, 1324425600, 5],0.37142857142857144
[<Product: Product Asin = B0002VAZA2>, 1324425600, 5],[<Product: Product Asin = B0002UQAY8>, 1324425600, 5],0.3523809523809524
[<Product: Product Asin = B0002VAZA2>, 1355702400, 5],[<Product: Product Asin = B0002UQAXY>, 1355702400, 5],0.8952380952380953
[<Product: Product Asin = B0002VAZA2>, 1355702400, 5],[<Product: Product Asin = B001TKWRHO>, 1355702400, 5],0.8380952380952381
[<Product: Product Asin = B00032KBFE>, 1354838400, 4],[<Product: Product Asin = B00032KBFE>, 1389744000, 4],1.0
